bank,deadtype,bankwhois,bankredir,registered
www.suncoastbank.com,parked-ads,F,F,T
www.cnbweslaco.com,parked-ads,F,F,T
www.snbank.com,bank,T,F,T
www.fnba.net,notreg,F,F,F
www.countrysidebank.net,dead,F,F,T
www.nittanybank.com,bank,F,F,T
www.sccb.com,parked-ads,F,F,T
www.cuyamacabank.com,notreg,F,F,F
www.centurynationalonline.com,dead,F,F,T
www.advest.com,dead,F,F,T
www.wyomingbnk.com,parked-ads,F,F,T
www.ncbbanking.com,dead,F,F,T
www.pamrapo.com,dead,F,F,T
www.fidelitybank-pa.com,bank,T,F,T
www.bankr.com,reuse,F,F,T
www.firstknox.com,bank,F,F,T
www.bellfederalsavings.com,dead,F,F,T
www.medfordcoopbank.com,reuse,F,F,T
www.heritagebanknfl.com,redir2alive,T,T,T
www.firstbankfinancialservices.com,dead,F,T,T
www.brahambank.com,parked-ads,F,F,T
www.first-citizens-bank.com,dead,F,F,T
www.dundasbank.com,notreg,F,F,F
www.firstindependentbank.com,parked-ads,F,F,T
www.arbucklebank.net,redir2alive,T,T,T
www.flatbushfed.com,dead,F,F,T
www.premierbankwv.com,reuse,F,F,T
www.wtdirect.com,dead,F,T,T
www.northwoodsstatebank.com,parked-ads,F,F,T
www.bayfinancial.com,parked-ads,F,F,T
www.gbsb.com,dead,F,T,T
www.hnbtx.com,parked-ads,F,F,T
www.riverviewcommunitybank.com,parked-ads,F,F,T
www.massbank.com,dead,F,F,T
www.fvab.com,notreg,F,F,F
www.unitedkingfield.com,redir2alive,F,T,T
www.nevadasecuritybank.com,dead,F,F,T
www.wnbk.com,bank,F,F,T
www.communitybk.net,parked,F,F,T
www.franklinbankmpls.com,bank,T,F,T
www.ffbsweetwater.com,bank,F,F,T
www.crosbybank.com,dead,F,F,T
www.ncwbank.com,dead,F,T,T
www.csbwaterloo.com,notreg,F,F,F
www.corusbank.com,dead,F,T,T
www.firstamerbank.com,parked-ads,F,F,T
www.sjnb.com,redir2alive,F,T,T
www.postvillestatebank.com,notreg,F,F,F
www.potomacbank.com,parked-ads,F,F,T
www.parkwaybankarizona.com,bank,F,F,T
www.eaglebankky.com,parked-ads,F,F,T
www.thefirstcommercialbank.com,dead,F,T,T
www.fsbvan.com,dead,F,F,T
www.fnbfairfield.com,bank,F,F,T
www.americanfirstbank-florida.com,dead,F,F,T
www.skyfi.com,parked-ads,F,F,T
www.firstessex.com,dead,F,F,T
www.piedmontbankga.com,dead,F,F,T
www.fcbanker.com,dead,F,T,T
www.bankofbellevue.com,parked-ads,F,F,T
www.fnbmena.com,redir2alive,T,T,T
www.securitystatebank-guttenberg.com,dead,F,F,T
www.firstcapitalbank.com,parked-ads,F,F,T
www.lafayettesavings.com,dead,F,T,T
www.bankofpensacola.com,bank,F,F,T
www.valleybankhelena.com,bank,F,F,T
www.chevrontexacocards.com,bank,F,F,T
www.fnblarned.com,parked-ads,F,F,T
www.fnbmtvernon.com,reuse,F,F,T
www.cbt.net,dead,F,F,T
www.ssbnj.com,reuse,F,F,T
www.firsthenryetta.com,notreg,F,F,F
www.westernreservebank.com,redir2alive,T,T,T
www.firstmorris.com,parked,F,F,T
www.firstwesternbank-mn.com,notreg,F,F,F
www.geobank.com,dead,F,F,T
www.1stbankonline.com,dead,F,T,T
www.metabankonline.com,dead,F,T,T
www.sibk.com,dead,F,F,T
www.firstbank1.com,reuse,F,F,T
www.kytrustbank.com,dead,F,F,T
www.abt-bank.com,reuse,F,F,T
www.superiorsavings.com,malware,F,F,T
www.myhtb.com,dead,F,F,T
www.theeastbank.com,parked-ads,F,F,T
www.fwsb.com,dead,F,F,T
www.equinoxbank.com,parked,F,F,T
www.asianbankaz.com,dead,F,F,T
www.burlbank.com,dead,F,T,T
www.fnbaonline.com,dead,F,F,T
www.fnbsanto.com,dead,F,T,T
www.ranchobank.com,dead,F,F,T
www.anbwy.com,dead,F,F,T
www.bankofcurrituck.com,dead,F,T,T
www.bankhays.com,bank,T,F,T
www.americanbank.biz,notreg,F,F,F
www.candcbank.com,dead,F,F,T
www.psbnetbank.com,dead,F,T,T
www.mainsourcebankil.com,dead,F,T,T
www.cornerstonebankms.com,notreg,F,F,F
www.golfsavingsbank.com,bank,F,F,T
www.asbnj.com,dead,F,T,T
www.firstbankingcenter.com,notreg,F,F,F
www.1stks.com,parked-ads,F,F,T
www.fnbruidoso.com,bank,F,F,T
www.citicorptrustbank.com,bank,F,F,T
www.meridianbankusa.com,reuse,F,F,T
www.cardunal.net,parked-ads,F,F,T
www.fssbofsemo.com,notreg,F,F,F
www.pchnb.com,dead,F,F,T
www.mtwashingtonbank.com,bank,F,F,T
www.morgan1st.com,dead,F,F,T
www.bankersbank.com,parked-ads,F,F,T
www.fbbh.com,reuse,F,F,T
www.stockmansbank.com,bank,F,F,T
www.centralkyfsb.com,bank,T,F,T
www.southpointebank.com,parked-ads,F,F,T
www.ivcbank.com,dead,F,F,T
www.firstnationaltullahoma.com,reuse,F,F,T
www.lvfb.com,dead,F,F,T
www.somersetnb.com,parked-ads,F,F,T
www.johnwarnerbank.com,bank,F,F,T
www.bayviewbank.com,dead,F,F,T
www.pointebank.com,bank,F,F,T
www.firstpiedmontbank.com,bank,F,F,T
www.beardstownfsb.com,dead,F,F,T
www.farmersnatbank.com,bank-interstitial,F,F,T
www.unionbankmo.com,dead,F,F,T
www.wnb.com,reuse,F,F,T
www.cbrrv.com,dead,F,F,T
www.fhbanknm.com,notreg,F,F,F
www.firstarkansas.com,dead,F,F,T
www.silverstatebank.com,parked-ads,F,F,T
www.tibbank.com,dead,F,T,T
www.communitybankdestin.com,redir2alive,F,T,T
www.fsbtc.com,dead,F,T,T
www.fcbcf.com,redir2alive,F,T,T
www.firstsuburbanbank.com,reuse,F,F,T
www.pinebank.com,parked-ads,F,F,T
www.pemibank.com,dead,T,F,T
www.hedricksavingsbank.com,bank,F,F,T
www.bankofalbuquerque.com,bank,F,F,T
www.marinebankfsb.com,bank,F,F,T
www.nesqsavingsbank.com,parked-ads,F,F,T
www.carolinanationalbank.com,dead,F,F,T
www.fcbusa.com,dead,T,F,T
www.securitybusinessbank.com,bank,T,F,T
www.fsbfaith.com,bank,T,F,T
www.libertywebbank.com,parked-ads,F,F,T
www.banksterling.com,bank,F,F,T
www.bankcalumet.com,bank,T,F,T
www.goldensecurity.com,parked-ads,F,F,T
www.willowfinancialbank.com,dead,F,F,T
www.fortknoxnationalbank.com,dead,F,F,T
www.fivestarbanknatomas.com,notreg,F,F,F
www.flbk.com,dead,F,F,T
www.pcnbonline.com,dead,F,T,T
www.champaignbank.com,dead,F,T,T
www.mcmullenbank.com,dead,F,F,T
www.unionstate.com,dead,F,T,T
www.bsbbank.com,dead,F,F,T
www.fnbmcconnells.com,dead,F,F,T
www.bvbank.com,dead,F,T,T
www.fnb-jasper.com,bank,F,F,T
www.insurbanc.com,bank,F,F,T
www.progressbank.com,dead,F,F,T
www.cambank.com,dead,F,F,T
www.parkbk.com,parked-ads,F,F,T
www.innovativebank.com,bank-interstitial,F,F,T
www.bankofarkansas.com,bank,F,F,T
www.mainstreetbank.net,parked-ads,F,F,T
www.citigroup.com,bank,F,F,T
www.newlibertybank.com,dead,F,T,T
www.dedhambank.com,dead,T,F,T
www.bankpbb.com,dead,F,F,T
www.minotolabank.com,notreg,F,F,F
www.skybank.com,dead,F,F,T
www.fnichols.com,parked-ads,F,F,T
www.nexitybank.com,dead,F,F,T
www.bayfirstbank.net,redir2alive,F,T,T
www.shorebankpacific.com,dead,F,F,T
www.commercialcapital.com,dead,F,F,T
www.hoisingtonnb.com,dead,F,F,T
www.yourbankaccount.com,dead,F,F,T
www.coleridgenationalbank.com,notreg,F,F,F
www.csbnj.com,redir2alive,F,T,T
www.cambridgeport.com,parked-ads,F,F,T
www.hudsonriverbank.com,redir2alive,F,T,T
www.unioncolonybank.com,bank-interstitial,F,F,T
www.firstfinbank.com,bank,F,F,T
www.securitypacificbank.com,parked-ads,F,F,T
www.txcommunity.com,parked-ads,F,F,T
www.sunsecuritybank.com,parked,F,F,T
www.bankofdwight.com,dead,F,F,T
www.bbnb.com,parked-ads,F,F,T
www.vineyardbank.com,redir2alive,T,T,T
www.nazbank.com,parked-ads,F,F,T
www.firstcommunityindiana.com,redir2alive,F,T,T
www.wcbank.net,parked-ads,F,F,T
www.mainstreettrust.com,parked-ads,F,F,T
www.perpetualsavings.com,parked-ads,F,F,T
www.suttonstatebank.com,bank-interstitial,F,F,T
www.oldecypressbank.com,dead,F,T,T
www.fbr.com,bank,F,F,T
www.horizonbank.com,dead,F,T,T
www.cabbank.com,parked,F,F,T
www.monticellobank.com,malware,F,F,T
www.1sbjc.com,parked,F,F,T
www.beaconfederal.com,dead,F,F,T
www.firstsavings.com,bank,F,F,T
www.union-bank.net,bank-interstitial,F,F,T
www.southshorecommunitybank.com,dead,F,T,T
www.adamsbank.com,dead,F,F,T
www.fnbmunday.com,bank,T,F,T
www.freedombankfl.net,dead,F,T,T
www.firstmybank.com,bank,F,F,T
www.oppbank.com,reuse,F,F,T
www.mcintoshcommercialbank.com,parked-ads,F,F,T
www.unionbankandtrust.com,parked-ads,F,F,T
www.anbia.com,dead,F,T,T
www.landmarkbanks.com,bank,T,F,T
www.amtrust.com,dead,F,T,T
www.townebankaz.com,bank,F,F,T
www.villagebank.net,parked-ads,F,F,T
www.cstonebank.com,dead,F,T,T
www.dgnb.com,dead,F,T,T
www.txcoastalbk.com,redir2alive,F,T,T
www.1stcent.com,reuse,F,F,T
www.newcitybankchicago.com,parked,F,F,T
www.1cbv.com,bank,F,F,T
www.mainstreetbank.com,redir2alive,T,T,T
www.allegiancecommunitybank.com,dead,F,T,T
www.lonsdalebank.com,parked-ads,F,F,T
www.jacksonvillessb.com,reuse,F,F,T
www.go2horizon.com,dead,T,F,T
www.bartowcountybank.com,parked-ads,F,F,T
www.peoplesbankpb.com,redir2alive,F,T,T
www.fm-banks.com,dead,T,F,T
www.fnb-beatrice.com,parked-ads,F,F,T
www.wachovia.com,redir2alive,F,T,T
www.grangebank.com,dead,F,F,T
www.desertbanking.com,bank,T,F,T
www.bankofgower.com,dead,F,T,T
www.elginbank.com,reuse,F,F,T
www.southbaybank.com,parked-ads,F,F,T
www.issaquah-bank.com,dead,T,F,T
www.soheritagebank.com,notreg,F,F,F
www.fbttx.com,notreg,F,F,F
www.timberlandbank.net,dead,F,F,T
www.bank-atpeoples.com,notreg,F,F,F
www.fsbfc.com,parked-ads,F,F,T
www.floridachoicebank.com,dead,F,F,T
www.affinitybankpa.com,bank,F,F,T
www.citizensbankok.com,dead,T,F,T
www.fortressbankmn.com,bank,T,F,T
www.nebraskabankersbank.com,dead,F,T,T
www.1stprivate.com,dead,F,T,T
www.hillcrestbank.com,bank,F,F,T
www.ffinb.com,bank,F,F,T
www.partnerstrust.com,dead,F,T,T
www.fsbia.com,bank,F,F,T
www.farmersbankport.com,notreg,F,F,F
www.1stunitedbnk.com,bank,F,T,T
www.spectrumbank.com,parked-ads,F,F,T
www.unitedsecuritybank.org,bank,F,F,T
www.cnbteague.net,dead,F,F,T
www.wcnb.com,dead,F,F,T
www.bankatmcb.com,dead,F,F,T
www.ffbsanangelo.com,bank,F,F,T
www.abandtnationalbank.com,dead,F,T,T
www.landmarksavingsbank.com,dead,F,F,T
www.hagerstowntrust.com,dead,F,F,T
www.oaklandcommerce.com,dead,F,T,T
www.frederictownbankmd.com,notreg,F,F,F
www.americanperspectivebank.com,dead,F,F,T
www.townbank.com,parked-ads,F,F,T
www.cnbbreckenridge.com,bank,F,F,T
www.fnbgrove.com,bank,F,F,T
www.borregospringsbank.com,bank,T,F,T
www.georgiatrustbank.com,parked-ads,F,F,T
www.libertybanktexas.com,parked-ads,F,F,T
www.firstsaversbank.com,dead,F,T,T
www.covenant-bank.com,bank,F,F,T
www.lnb.com,dead,F,T,T
www.bankhumboldt.com,dead,F,T,T
www.communitybanknh.com,dead,F,F,T
www.charterbank-trust.com,dead,F,F,T
www.coastbankflorida.com,dead,F,F,T
www.sunbankpa.com,parked-ads,F,F,T
www.bankrogers.com,dead,F,F,T
www.statebankoflebo.com,dead,F,F,T
www.marinenationalbank.com,notreg,F,F,F
www.thecountrybank.com,dead,F,T,T
www.cb-demopolis.com,notreg,F,F,F
www.fnbfla.net,notreg,F,F,F
www.1stsecfed.com,dead,F,F,T
www.carolinacommercebank.com,dead,F,F,T
www.excelbankmn.com,bank,F,F,T
www.fnb-bcs.com,bank-interstitial,T,F,T
www.thebankarlington.com,dead,F,T,T
www.berkshirebnk.com,notreg,F,F,F
www.fnbfl.com,bank-interstitial,F,F,T
www.firststatebankfsb.com,redir2alive,F,T,T
www.redoakbank.com,parked-ads,F,F,T
www.farmersandmechanics.com,dead,F,T,T
www.homebuildingsavingsbank.com,bank,T,F,T
www.muskegoncommerce.com,dead,F,T,T
www.bankwmass.com,bank,F,F,T
www.calaisfederal.com,dead,F,F,T
www.fcbanks.com,parked-ads,F,F,T
www.progressbankmo.com,parked-ads,F,F,T
www.newasiabk.com,notreg,F,F,F
www.premierbank.com,dead,F,T,T
www.bankwithcnb.com,dead,F,T,T
www.publicbank.org,dead,F,F,T
www.bankatsba.com,reuse,F,F,T
www.norcrownbanknj.com,redir2alive,T,T,T
www.ojaibank.com,notreg,F,F,F
www.fidelitybankdfw.com,dead,F,T,T
www.vcbbank.com,bank,F,F,T
www.sunrisebankofatlanta.com,bank,F,F,T
www.centurynationalbank.com,bank,T,F,T
www.americancommunitybank.com,bank,F,F,T
www.firstfedwv.com,dead,F,F,T
www.greaterchicagobank.com,notreg,F,F,F
www.georgianbank.com,dead,F,T,T
www.fnbanthony.com,dead,F,F,T
www.sharonco-opbank.com,notreg,F,F,F
www.fairfieldcountysavings.com,redir2alive,T,T,T
www.wcb.com,bank-interstitial,F,F,T
www.daltonwhitfieldbank.com,dead,F,F,T
www.nebankct.com,bank-interstitial,F,F,T
www.nbstamford.com,dead,F,F,T
www.hopedalebank.com,bank,F,F,T
www.quincystatebank.com,dead,F,F,T
www.e-fnbnc.com,notreg,F,F,F
www.stnb.com,dead,T,F,T
www.anbcleveland.com,reuse,F,F,T
www.capitalbanksc.com,dead,F,T,T
www.tcfexpress.com,bank,F,F,T
www.arlingtonnationalbank.com,dead,F,F,T
www.securitybanktusc.com,parked-ads,F,F,T
www.myindianabank.com,redir2alive,F,T,T
www.vabusinessbank.com,reuse,F,F,T
www.parishnational.com,notreg,F,F,F
www.synovusbankfl.com,dead,F,T,T
www.fcbnk.com,reuse,F,F,T
www.firstbankdelta.com,dead,F,F,T
www.bankwithheartland.com,dead,F,F,T
www.fmb-online.com,parked-ads,F,F,T
www.baynetcommunitybank.com,redir2alive,F,T,T
www.miraebank.com,parked-ads,F,F,T
www.inatbank.com,dead,F,F,T
www.siwooganock.com,malware,F,F,T
www.walfordbank.com,parked-ads,T,F,T
www.mfbb.com,dead,F,F,T
www.visionbankfl.net,dead,F,T,T
www.southernbank-of-commerce.com,notreg,F,F,F
www.thepeachtreebank.com,dead,F,F,T
www.senecanb.com,dead,F,F,T
www.fnbwaldron.com,redir2alive,T,T,T
www.nbcbham.com,dead,F,F,T
www.republicbankfl.com,redir2alive,T,T,T
www.lostpines.com,parked-ads,F,F,T
www.ibb.cc,dead,F,F,T
www.shelterbank.com,bank-interstitial,F,F,T
www.virginiasavingsbank.com,bank,F,F,T
www.delsterlingbank.com,dead,F,T,T
www.fsbsherburn.com,notreg,F,F,F
www.securityfederalsavings.com,parked,F,F,T
www.calcommunitybank.com,redir2alive,F,T,T
www.fsbfrankston.com,dead,F,F,T
www.fbwt.com,dead,F,F,T
www.ahbank.com,dead,F,F,T
www.affinitybank.com,dead,F,F,T
www.firstbankamericano.com,dead,F,F,T
www.lcbank.com,parked-ads,F,F,T
www.doralbankny.com,bank,F,F,T
www.gulfsouthprivatebank.com,bank,T,T,T
www.flagshipnationalbank.com,dead,F,T,T
www.banktrustonline.com,redir2alive,F,T,T
www.newsouthfederal.com,dead,F,T,T
www.citizensbankofblythedale.com,parked,T,F,T
www.butlerbank.com,bank-interstitial,F,F,T
www.bluestem.com,bank,T,F,T
www.oldflbank.com,parked-ads,F,F,T
www.cottagesavingsbank.com,dead,T,F,T
www.peoplesstate.com,dead,T,F,T
www.mutualbanking.com,bank,F,F,T
www.fnbcanton.com,redir2alive,T,T,T
www.1stnationalbank.com,bank,F,F,T
www.rockriverbank.com,dead,F,T,T
www.steelvalleybank.com,parked-ads,F,F,T
www.bankofkansascity.com,bank,F,F,T
www.bankofthesouth.net,parked-ads,F,F,T
www.wfb.com,redir2alive,F,T,T
www.parknatl.com,parked-ads,T,F,T
www.tlnbank.com,reuse,F,F,T
www.adamscooperative.com,bank,F,F,T
www.fnbmarengo.com,bank,F,F,T
www.fmbank.net,parked-ads,F,F,T
www.bankofwashtenaw.com,dead,T,F,T
www.magnetbank.net,reuse,F,F,T
www.buttecommunity.com,dead,F,T,T
www.sheridanstatebank.com,dead,F,T,T
www.csbsinton.com,dead,F,F,T
www.kitcarsonstatebank.com,redir2alive,T,T,T
www.ffbhuntsville.com,bank,F,F,T
www.northstarbankna.com,parked-ads,F,F,T
www.sarasotabank.com,dead,F,F,T
www.valleystbk.com,dead,T,F,T
www.vanguardbank.com,bank,F,F,T
www.bank10.com,dead,T,F,T
www.coastalbanc.com,parked-ads,F,F,T
www.bryanbank.com,bank,T,F,T
www.fnbsk.com,bank-interstitial,F,F,T
www.gwsbank.com,parked-ads,F,F,T
www.vbnv.com,parked-ads,F,F,T
www.bartonvillebank.com,dead,F,F,T
www.biglakenationalbank.com,parked-ads,F,F,T
www.fcb.la,dead,F,F,T
www.peoplesbt.com,dead,F,T,T
www.madisonbt.com,notreg,F,F,F
www.bankoforangecounty.com,dead,F,F,T
www.natlbankofcommerce.com,dead,F,F,T
www.cosmopolitanbank.com,dead,F,F,T
www.unionfedbank.com,dead,F,F,T
www.horizonbankfl.com,parked-ads,F,F,T
www.bankab.com,dead,F,T,T
www.capitalbank-nc.com,dead,F,T,T
www.republicfederal.com,dead,F,F,T
www.delawarenational.com,dead,F,F,T
www.cbnaples.com,dead,F,F,T
www.peoplesbankky.com,parked-ads,F,F,T
www.marinerbank.com,parked-ads,F,F,T
www.mibank.com,bank,F,F,T
www.savannahbank.com,bank,T,F,T
www.sandersonbank.com,parked-ads,F,F,T
www.cohuttabank.com,dead,F,T,T
www.birdislandbank.com,bank,F,F,T
www.theexpressbank.com,notreg,F,F,F
www.fcbnm.com,dead,F,F,T
www.americanstatebankforyou.com,notreg,F,F,F
www.ebank.com,dead,F,F,T
www.fnbnelsonville.com,notreg,F,F,F
www.elizabethstatebank.com,parked-ads,F,F,T
www.bankofjacomo.com,parked-ads,F,F,T
www.cbnv.com,dead,F,F,T
www.columbiariverbank.com,dead,F,T,T
www.alliancebankna.com,bank,T,F,T
www.heartlandcb.com,redir2alive,T,T,T
www.communitybankofsmithcounty.com,redir2alive,T,T,T
www.legacysandiego.com,dead,F,F,T
www.fbtspiritlake.com,reuse,F,F,T
www.statebankofloretto.com,notreg,F,F,F
www.larimerbank.com,dead,F,T,T
www.foothillbank.com,parked-ads,F,F,T
www.eagle-bank.com,bank,F,F,T
www.sunstatebank.com,dead,T,F,T
www.regionalbank.com,redir2alive,T,T,T
www.tradersbanking.com,parked-ads,F,F,T
www.pcbionline.com,parked-ads,F,F,T
www.sequoianationalbank.com,dead,T,F,T
www.enfieldfederal.com,parked-ads,F,F,T
www.fsbankmn.com,bank,F,F,T
www.sixrivers.com,redir2alive,F,T,T
www.bankofleigh.com,dead,F,F,T
www.citizenssouth.com,redir2alive,F,T,T
www.royaloaksbank.com,dead,T,F,T
www.csbt.com,bank,F,F,T
www.fsbdent-perham.com,dead,F,F,T
www.granitestatebank.com,parked-ads,F,F,T
www.broadwaybankchicago.com,dead,F,F,T
www.brooklinecoop.com,dead,F,T,T
www.valleystatebank.net,notreg,F,F,F
www.dryadesbank.com,dead,F,T,T
www.fnbsachse.com,notreg,F,F,F
www.coloradovalleybank.com,dead,F,F,T
www.williamsburgnb.com,notreg,F,F,F
www.fnbsj.com,reuse,F,F,T
www.fcbtifton.com,dead,F,T,T
www.unizanbank.com,redir2alive,F,T,T
www.richlandbank.com,bank,F,F,T
www.bentonbankingcompany.com,parked-ads,F,F,T
www.beachfirst.com,bank,F,F,T
www.secondfederal.com,bank,F,F,T
www.banksandiego.com,dead,F,F,T
www.vantagesouth.com,bank,T,F,T
www.statebankofslater.com,redir2alive,T,T,T
www.beverlynational.com,bank,F,F,T
www.sbwi.net,dead,F,F,T
www.oldforgebankpa.com,parked-ads,F,F,T
www.virtualbank.com,bank,F,F,T
www.centerstatemidfl.com,parked-ads,F,F,T
www.hydeparkbank.net,bank,F,F,T
www.bankofes.com,bank,F,F,T
www.communitybankofcentralwisconsin.com,dead,T,F,T
www.firstnationalbank.com,reuse,F,F,T
www.peoplesbankofcoffeecounty.com,reuse,F,F,T
www.fremontbank.net,dead,F,F,T
www.skylandscombank.com,dead,F,T,T
www.statewidebank.com,dead,F,F,T
www.southernbandt.com,bank,F,F,T
www.tcfcorp.com,dead,F,F,T
www.seaislandbank.com,dead,F,T,T
www.fnbcan.com,dead,F,T,T
www.fnb-palm.com,dead,F,T,T
www.libertybankflorida.com,dead,F,T,T
www.valleybankaz.com,notreg,F,F,F
www.ljbank.com,dead,F,T,T
www.communitybanknv.com,parked-ads,F,F,T
www.citizensfinancialbank.com,parked-ads,F,F,T
www.ibankfnb.com,dead,F,F,T
www.fsbastoria.com,dead,F,T,T
www.belmontbank.com,parked-ads,F,F,T
www.securitybank-albany.com,bank,F,F,T
www.fsbdix.com,parked-ads,F,F,T
www.visionbankfsb.net,notreg,F,F,F
www.gofnb.com,bank,F,F,T
www.nvsb.com,reuse,F,F,T
www.hectorbank.com,dead,F,F,T
www.haventrustbankfl.com,dead,F,T,T
www.csbbonner.com,redir2alive,F,T,T
www.guarantygroup.com,parked-ads,F,F,T
www.cobnks.com,bank,F,F,T
www.coppermarkbank.com,bank-interstitial,T,F,T
www.statebank-dillon.com,redir2alive,T,T,T
www.summit-bank.com,parked-ads,F,F,T
www.bankcb.com,dead,F,T,T
www.douglassbk.com,notreg,F,F,F
www.firstfedamerica.com,parked-ads,F,F,T
www.banknorthwest.com,redir2alive,F,T,T
www.combanktrust.com,dead,F,T,T
www.fidelityandtrust.com,dead,F,T,T
www.countrybankusa.com,dead,F,T,T
www.waukeestatebank.com,redir2alive,F,T,T
www.firstinvestors.com,bank,F,F,T
www.colonialbk.com,dead,F,F,T
www.firstccbank.com,parked-ads,F,F,T
www.fsbmapleton.com,dead,F,T,T
www.fnbwellington.com,bank,F,F,T
www.gwinnettbanking.com,parked-ads,F,F,T
www.communitysouthbankandtrust.com,dead,F,T,T
www.heritagecb.com,parked-ads,F,F,T
www.paccrest.com,bank,T,F,T
www.frsb.com,parked-ads,F,F,T
www.bbvapr.com,bank-interstitial,F,F,T
www.fnbbarnesville.com,dead,F,F,T
www.subcombank.com,notreg,F,F,F
www.fsb-ks.com,notreg,F,F,F
www.sumterbank.com,bank,F,F,T
www.fcbmaine.com,dead,F,F,T
www.bankofvenice.com,dead,F,T,T
www.bankatbyron.com,dead,F,F,T
www.gnbtx.com,parked-ads,F,F,T
www.fcnb.com,bank,F,F,T
www.allegbank.com,dead,F,F,T
www.choicebankaz.com,dead,F,F,T
www.baynational.com,dead,F,T,T
www.fmstatebank.com,bank,F,F,T
www.osagevalleybank.com,parked-ads,F,F,T
www.mostatebank.com,bank,F,F,T
www.bankofpowhatan.com,bank-interstitial,T,F,T
www.statebankmn.com,dead,F,T,T
www.chesterfieldfed.com,notreg,F,F,F
www.bankoakland.com,parked-ads,F,F,T
www.prospectbank.com,parked-ads,T,F,T
www.cfbwv.com,dead,F,F,T
www.lehman.com,bank,F,F,T
www.yumabank.com,parked-ads,F,F,T
www.1stbankok.com,dead,F,T,T
www.centralbankga.com,bank,F,F,T
www.jsbofga.com,dead,F,T,T
www.fnbmuskogee.com,bank,T,F,T
www.peoplesfirst.com,dead,F,F,T
www.bankofnashville.com,dead,F,T,T
www.ourmarinebank.com,parked,F,F,T
